NYSE Stock Exchange
"Wednesday, August 20, 2014 5:32 PM"

Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,48.98,49.58,48.82,49.22,0.46,0.94,"1,798,695",97.28,43.35,...,...,140.63,-47.04
3M,MMM,143.86,144.82,143.50,144.60,1.20,0.84,"2,287,604",146.43,112.36,3.42,2.37,20.00,3.10
58.com ADS,WUBA,53.10,53.48,50.37,50.59,-2.81,-5.26,"1,971,099",58.89,21.00,...,...,118.15,31.95
500.com ADS,WBAI,36.60,38.26,36.57,37.46,0.46,1.24,"302,754",54.00,18.14,...,...,36.03,5.91
A10 Networks,ATEN,10.72,11.03,10.57,10.83,0.09,0.84,"236,127",16.50,9.26,...,...,...,-33.19
AAR Corp.,AIR,27.50,27.50,27.03,27.04,-0.51,-1.85,"130,716",31.55,23.74,0.30,1.11,14.62,-3.46
Aaron's Inc.,AAN,25.95,26.09,25.41,25.58,-0.38,-1.46,"552,549",36.73,24.75,0.08,0.33,20.80,-12.99
ABB ADS,ABB,22.53,22.72,22.53,22.68,-0.11,-0.48,"1,201,828",27.25,21.31,0.79,3.48,20.02,-14.61
Abbott Laboratories,ABT,42.22,42.49,41.96,42.14,-0.40,-0.94,"4,922,424",43.27,32.70,0.88,2.09,27.20,9.94
AbbVie,ABBV,54.82,55.18,54.69,55.06,-0.23,-0.42,"7,506,814",58.27,42.25,1.68,3.05,21.18,4.26
Abercrombie&Fitch,ANF,43.12,44.39,43.03,43.96,1.40,3.29,"3,182,116",48.44,31.14,0.80,1.82,89.71,33.58
ABM Industries,ABM,26.03,26.10,25.81,25.93,-0.14,-0.54,"135,743",29.50,24.11,0.62,2.39,21.08,-9.30
Acadia Realty Trust,AKR,29.04,29.32,28.88,29.21,0.03,0.10,"180,458",29.32,22.89,0.92,3.15,42.34,17.64
Accenture Cl A,ACN,80.32,80.49,79.88,80.40,0.08,0.10,"1,206,399",85.88,69.78,1.86,2.31,17.59,-2.21
Access Midstream Partners,ACMP,61.34,62.00,61.13,61.75,0.50,0.82,"259,567",66.71,44.75,2.38,3.85,42.45,9.14
ACCO Brands,ACCO,7.33,7.41,7.24,7.24,-0.10,-1.36,"986,253",7.43,5.47,...,...,9.16,7.74
Accuride,ACW,5.00,5.04,4.88,5.01,-0.04,-0.79,"166,125",5.91,3.10,...,...,...,34.32
ACE,ACE,104.00,104.52,103.71,104.38,0.15,0.14,"1,413,692",108.61,87.11,2.52,2.41,10.44,0.82
Acorn International ADS,ATV,1.93,1.95,1.85,1.93,0.05,2.66,"3,701",2.50,1.32,...,...,...,24.41
Actavis,ACT,222.28,224.18,221.57,223.36,0.28,0.13,"1,330,262",230.77,130.06,...,...,465.33,32.95
Actuant Cl A,ATU,33.95,34.09,33.72,33.92,-0.15,-0.44,"250,332",39.84,31.74,0.04,0.12,13.15,-7.42
Acuity Brands,AYI,120.91,121.49,120.04,121.41,0.37,0.31,"224,981",146.28,83.61,0.52,0.43,31.56,11.06
Adecoagro,AGRO,9.52,9.62,9.33,9.47,-0.10,-1.04,"195,494",10.35,6.42,...,...,450.95,17.06
Adeptus Health,ADPT,27.00,28.29,26.29,27.87,0.94,3.49,"177,361",28.56,23.35,...,...,...,8.23
ADT Corp.,ADT,36.27,37.37,36.27,37.22,0.98,2.70,"3,482,458",46.05,27.93,0.80,2.15,22.42,-8.03
Advance Auto Parts,AAP,133.94,135.33,133.50,135.14,1.12,0.84,"395,600",136.12,78.91,0.24,0.18,22.41,22.10
Advanced Drainage Systems,WMS,16.58,17.35,16.52,17.17,0.70,4.25,"181,121",17.35,14.74,...,...,...,6.32
Advanced Micro Devices,AMD,4.25,4.32,4.22,4.28,0.01,0.23,"11,913,089",4.80,3.04,...,...,42.80,10.59
