Date,Amount,Transaction Type,Category,Account Name
8/15/2014,2.15,debit,Uncategorized,Visa Signature
8/15/2014,17.41,debit,Uncategorized,CREDIT CARD
8/14/2014,11.23,debit,Restaurants,Visa Signature
8/14/2014,9.99,debit,Music,Visa Signature
8/15/2014,2216.47,credit,Paycheck,Income Fund
8/14/2014,10.58,debit,Coffee Shops,Visa Signature
8/13/2014,286.36,credit,Income,Emergency Savings
8/12/2014,500,credit,Interest Income,Income Fund
8/12/2014,455.88,debit,Credit Card Payment,Income Fund
8/11/2014,455.88,credit,Credit Card Payment,CREDIT CARD
8/11/2014,12,debit,Movies & DVDs,CREDIT CARD
8/11/2014,12.5,debit,Alcohol & Bars,CREDIT CARD
8/11/2014,14,debit,Movies & DVDs,CREDIT CARD
8/11/2014,4.29,debit,Gas & Fuel,CREDIT CARD
8/11/2014,11.4,debit,Uncategorized,CREDIT CARD
8/11/2014,33.5,debit,Gas & Fuel,CREDIT CARD
8/11/2014,71.73,debit,Shopping,CREDIT CARD
8/11/2014,19.84,credit,Shopping,Visa Signature
8/11/2014,7.99,debit,Movies & DVDs,Visa Signature
8/11/2014,23.5,debit,Shopping,Visa Signature
8/11/2014,59.3,debit,Utilities,Income Fund
8/10/2014,49.47,debit,Shopping,CREDIT CARD
8/9/2014,8.13,debit,Health & Fitness,Visa Signature
8/9/2014,3.52,debit,Fast Food,Visa Signature
8/8/2014,28.62,debit,Restaurants,Visa Signature
8/8/2014,6.85,debit,Groceries,Visa Signature
8/8/2014,1055.89,credit,Credit Card Payment,CREDIT CARD
8/6/2014,3.61,debit,Groceries,Visa Signature
8/6/2014,439.04,debit,Hotel,CREDIT CARD
8/6/2014,9.74,debit,Shopping,CREDIT CARD
8/6/2014,7.62,debit,Coffee Shops,CREDIT CARD
8/5/2014,7.17,debit,Fast Food,Visa Signature
8/5/2014,2.71,debit,Gas & Fuel,Visa Signature
8/5/2014,23.53,debit,Gas & Fuel,Visa Signature
8/5/2014,14.95,debit,Books,Visa Signature
8/5/2014,516.02,credit,Income,PayPal Account
8/5/2014,2.44,debit,Uncategorized,CREDIT CARD
8/5/2014,21.3,debit,Uncategorized,CREDIT CARD
8/5/2014,8,debit,Uncategorized,CREDIT CARD
8/5/2014,66.75,debit,Restaurants,CREDIT CARD
8/5/2014,0.28,credit,Interest Income,Income Fund
8/5/2014,4.95,credit,Income,Income Fund
8/5/2014,1.8,credit,Interest Income,Emergency Savings
8/4/2014,49.08,debit,Uncategorized,CREDIT CARD
8/4/2014,21.32,debit,Restaurants,CREDIT CARD
8/4/2014,150.48,debit,Uncategorized,CREDIT CARD
8/4/2014,24,debit,Uncategorized,CREDIT CARD
8/4/2014,1.84,debit,Gas & Fuel,Visa Signature
8/4/2014,39.34,debit,Restaurants,Visa Signature
8/4/2014,12.8,debit,Restaurants,Visa Signature
8/4/2014,10.87,debit,Restaurants,Visa Signature
8/4/2014,59.48,debit,Clothing,Visa Signature
8/4/2014,50.67,debit,Student Loan,Income Fund
8/4/2014,1500,debit,Transfer,Income Fund
8/4/2014,107.27,debit,Student Loan,Income Fund
8/3/2014,25,debit,Fast Food,CREDIT CARD
8/3/2014,16.61,debit,Pharmacy,CREDIT CARD
8/3/2014,53.66,debit,Alcohol & Bars,CREDIT CARD
8/3/2014,181.36,debit,Hotel,CREDIT CARD
8/3/2014,90.68,debit,Hotel,CREDIT CARD
8/3/2014,90.68,credit,Hotel,CREDIT CARD
8/2/2014,7.91,debit,Fast Food,Visa Signature
8/2/2014,2.42,debit,Gas & Fuel,Visa Signature
8/2/2014,22,debit,Hair,Visa Signature
8/2/2014,32.58,debit,Gas & Fuel,Visa Signature
8/1/2014,99,debit,Fees & Charges,CREDIT CARD
8/1/2014,431.66,credit,Income,PayPal Account
8/1/2014,1021.84,debit,Bills & Utilities,Income Fund
8/1/2014,107,debit,Utilities,Income Fund
7/31/2014,60,credit,Income,PayPal Account
7/31/2014,69.37,credit,Income,PayPal Account
7/31/2014,2171.55,credit,Paycheck,Income Fund
7/30/2014,10.58,debit,Coffee Shops,Visa Signature
7/30/2014,39.61,debit,Utilities,Income Fund
7/29/2014,113.67,debit,Uncategorized,CREDIT CARD
7/29/2014,14.2,debit,Fast Food,CREDIT CARD
7/28/2014,88,debit,Hotel,CREDIT CARD
7/28/2014,28.54,debit,Shopping,CREDIT CARD
7/28/2014,15,debit,Hotel,CREDIT CARD
7/28/2014,9.74,debit,Groceries,CREDIT CARD
7/28/2014,33.86,debit,Groceries,CREDIT CARD
7/28/2014,500,credit,Interest Income,Income Fund
7/28/2014,72.83,debit,Transfer,Income Fund
7/28/2014,65,debit,Transfer,Income Fund
7/27/2014,10,debit,Uncategorized,CREDIT CARD
7/27/2014,33.35,debit,Gas & Fuel,CREDIT CARD
7/25/2014,997.64,credit,Credit Card Payment,CREDIT CARD
7/25/2014,43.65,debit,Financial,Income Fund
7/24/2014,25,debit,Charity,CREDIT CARD
7/23/2014,826.98,debit,Uncategorized,CREDIT CARD
7/23/2014,185,debit,Financial,Income Fund
7/23/2014,286.37,credit,Income,Emergency Savings
7/21/2014,3.52,debit,Fast Food,CREDIT CARD
7/21/2014,28.52,debit,Gas & Fuel,CREDIT CARD
7/21/2014,22.82,debit,Uncategorized,CREDIT CARD
7/21/2014,8.29,debit,Gas & Fuel,CREDIT CARD
7/21/2014,15,debit,Uncategorized,CREDIT CARD
7/21/2014,63.51,debit,Shopping,CREDIT CARD
7/21/2014,4,debit,Uncategorized,CREDIT CARD
7/21/2014,3.61,debit,Groceries,Visa Signature
7/21/2014,25.13,debit,Gas & Fuel,Visa Signature
7/21/2014,12.93,debit,Gas & Fuel,Visa Signature
7/21/2014,99,debit,Shopping,Income Fund
7/19/2014,25.5,debit,Alcohol & Bars,Barclaycard Arrival Plus
7/19/2014,61.47,debit,Restaurants,Barclaycard Arrival Plus
7/19/2014,15,debit,Alcohol & Bars,Barclaycard Arrival Plus
7/19/2014,4,debit,Entertainment,Visa Signature
7/19/2014,13.76,debit,Restaurants,Visa Signature
7/19/2014,9.43,debit,Alcohol & Bars,Visa Signature
7/19/2014,12.85,debit,Restaurants,Visa Signature
7/19/2014,2.83,debit,Fast Food,Visa Signature
7/18/2014,3.24,debit,Fast Food,Visa Signature
7/18/2014,3.61,debit,Groceries,Visa Signature
7/18/2014,1500,debit,Transfer,Income Fund
7/17/2014,21.59,debit,Coffee Shops,Visa Signature
7/17/2014,275,debit,Credit Card Payment,Income Fund
7/17/2014,860.94,debit,Credit Card Payment,Income Fund
7/16/2014,276.79,credit,Credit Card Payment,Barclaycard Arrival Plus
7/16/2014,275,credit,Credit Card Payment,Barclaycard Arrival Plus
7/16/2014,3.24,debit,Fast Food,Visa Signature
7/16/2014,12.59,debit,Shopping,Visa Signature
7/16/2014,3.61,debit,Groceries,Visa Signature
7/16/2014,860.94,credit,Credit Card Payment,Visa Signature
7/16/2014,19.63,debit,Shopping,Visa Signature
7/16/2014,17.79,debit,Home Improvement,Visa Signature
7/16/2014,203.01,debit,Transfer,Income Fund
7/16/2014,203.01,credit,Transfer,Expenses
7/16/2014,2162.2,credit,Paycheck,Income Fund
7/15/2014,9.99,debit,Music,Visa Signature
7/14/2014,5.3,debit,Gas & Fuel,Visa Signature
7/14/2014,18.25,debit,Uncategorized,Visa Signature
7/14/2014,159.34,debit,Hotel,Visa Signature
7/14/2014,3.61,debit,Groceries,Visa Signature
7/13/2014,13,debit,Restaurants,Barclaycard Arrival Plus
7/13/2014,23,debit,Restaurants,Barclaycard Arrival Plus
7/13/2014,102.45,debit,Uncategorized,Income Fund
7/13/2014,102.5,debit,Uncategorized,Income Fund
7/12/2014,28.5,debit,Restaurants,Barclaycard Arrival Plus
7/12/2014,9,debit,Restaurants,Barclaycard Arrival Plus
7/12/2014,33.94,debit,Gas & Fuel,Barclaycard Arrival Plus
7/12/2014,21.23,debit,Restaurants,Visa Signature
7/11/2014,8.85,debit,Restaurants,Barclaycard Arrival Plus
7/11/2014,9.66,debit,Groceries,Barclaycard Arrival Plus
7/11/2014,25.25,debit,Groceries,Barclaycard Arrival Plus
7/11/2014,13.48,debit,Fast Food,Barclaycard Arrival Plus
7/11/2014,5.21,debit,Fast Food,Barclaycard Arrival Plus
7/11/2014,4.55,debit,Fast Food,Visa Signature
7/11/2014,3.61,debit,Groceries,Visa Signature
7/11/2014,2.27,debit,Gas & Fuel,Visa Signature
7/11/2014,43.55,debit,Shopping,Visa Signature
7/11/2014,535,credit,Income,Income Fund
7/11/2014,500,credit,Interest Income,Income Fund
7/10/2014,7.99,debit,Movies & DVDs,Visa Signature
7/10/2014,2.69,debit,Groceries,Visa Signature
7/10/2014,67.65,debit,Utilities,Income Fund
7/9/2014,500,credit,Transfer,Expenses
7/9/2014,30,debit,Gas & Fuel,Visa Signature
7/9/2014,6.49,debit,Uncategorized,Visa Signature
7/9/2014,96,debit,Uncategorized,Visa Signature
7/9/2014,500,debit,Transfer,Income Fund
7/9/2014,4.99,debit,Music,Income Fund
7/9/2014,67.95,credit,Income,Income Fund
7/8/2014,3.46,debit,Fast Food,Visa Signature
7/7/2014,40.96,debit,Gas & Fuel,Barclaycard Arrival Plus
7/7/2014,59,debit,Fees & Charges,Visa Signature
7/7/2014,43.74,debit,Uncategorized,Visa Signature
7/7/2014,416.42,debit,Credit Card Payment,Income Fund
7/6/2014,11.77,debit,Fast Food,Barclaycard Arrival Plus
7/6/2014,40.63,debit,Restaurants,Barclaycard Arrival Plus
7/6/2014,5.38,debit,Pharmacy,Barclaycard Arrival Plus
7/5/2014,8.08,debit,Fast Food,Barclaycard Arrival Plus
7/5/2014,10.01,debit,Alcohol & Bars,Barclaycard Arrival Plus
7/5/2014,31.4,debit,Gas & Fuel,Barclaycard Arrival Plus
7/5/2014,9.61,debit,Gas & Fuel,Barclaycard Arrival Plus
7/5/2014,18.7,debit,Gas & Fuel,Barclaycard Arrival Plus
7/5/2014,25.56,debit,Shopping,Barclaycard Arrival Plus
7/5/2014,11.62,debit,Restaurants,Visa Signature
7/5/2014,14.95,debit,Books,Visa Signature
7/5/2014,13.55,debit,Gas & Fuel,Visa Signature
7/5/2014,5.75,credit,Income,Income Fund
7/5/2014,0.28,credit,Interest Income,Income Fund
7/5/2014,0.94,credit,Interest Income,Emergency Savings
7/4/2014,416.42,credit,Credit Card Payment,Visa Signature
7/4/2014,53.88,debit,Shopping,Visa Signature
7/4/2014,53,debit,Doctor,Visa Signature
7/4/2014,3.03,debit,Uncategorized,Visa Signature
7/4/2014,33.97,debit,Uncategorized,Visa Signature
7/4/2014,14.11,debit,Coffee Shops,Visa Signature
7/4/2014,37.12,debit,Shopping,Visa Signature
7/4/2014,3.94,debit,Shopping,Visa Signature
7/4/2014,13.39,debit,Shopping,Visa Signature
7/4/2014,7.41,debit,Fast Food,Visa Signature
7/4/2014,63,debit,Uncategorized,Income Fund
7/3/2014,11.86,debit,Restaurants,Barclaycard Arrival Plus
7/3/2014,23.3,debit,Alcohol & Bars,Barclaycard Arrival Plus
7/3/2014,8.05,debit,Restaurants,Barclaycard Arrival Plus
7/3/2014,7.1,debit,Restaurants,Barclaycard Arrival Plus
7/3/2014,922.91,credit,Transfer,Income Fund
7/2/2014,922.91,debit,Transfer,PayPal Account
7/2/2014,97.88,debit,Utilities,Income Fund
7/2/2014,50.67,debit,Student Loan,Income Fund
7/2/2014,1250,debit,Transfer,Income Fund
7/2/2014,107.27,debit,Student Loan,Income Fund
7/1/2014,1021.84,debit,Bills & Utilities,Income Fund
7/1/2014,447.91,credit,Income,PayPal Account
7/1/2014,475,credit,Income,PayPal Account
6/30/2014,79.34,debit,Hotel,Visa Signature
6/30/2014,3.81,debit,Gas & Fuel,Visa Signature
6/30/2014,5.08,debit,Gas & Fuel,Visa Signature
6/30/2014,10,debit,Restaurants,Visa Signature
6/30/2014,6.82,debit,Gas & Fuel,Visa Signature
6/30/2014,32.65,debit,Gas & Fuel,Visa Signature
6/30/2014,2.71,debit,Gas & Fuel,Visa Signature
6/30/2014,4.56,debit,Fast Food,Visa Signature
6/30/2014,42.55,debit,Utilities,Income Fund
6/30/2014,1979.03,credit,Paycheck,Income Fund
6/29/2014,11.9,debit,Groceries,Barclaycard Arrival Plus
6/29/2014,7.36,debit,Groceries,Barclaycard Arrival Plus
6/28/2014,15.95,debit,Shopping,Barclaycard Arrival Plus
6/28/2014,6.88,debit,Fast Food,Visa Signature
6/28/2014,10.91,debit,Fast Food,Visa Signature
6/28/2014,2.92,debit,Gas & Fuel,Visa Signature
6/28/2014,34.53,debit,Restaurants,Visa Signature
6/27/2014,94.28,debit,Hotel,Barclaycard Arrival Plus
6/27/2014,6,debit,Fast Food,Visa Signature
6/27/2014,6.48,debit,Fast Food,Visa Signature
6/27/2014,1417.52,credit,Income,Emergency Savings
6/26/2014,13.31,debit,Fast Food,Visa Signature
6/26/2014,500,credit,Interest Income,Income Fund
6/26/2014,65,debit,Transfer,Income Fund
6/25/2014,11.26,debit,Fast Food,Visa Signature
6/25/2014,56.05,debit,Shopping,Visa Signature
6/25/2014,43.65,debit,Financial,Income Fund
6/24/2014,1250,debit,Transfer,Income Fund
6/24/2014,51.68,debit,Shopping,Income Fund
6/23/2014,12.86,debit,Fast Food,Visa Signature
6/23/2014,12.16,debit,Fast Food,Visa Signature
6/23/2014,11.39,debit,Fast Food,Visa Signature
6/23/2014,51.68,debit,Gift,PayPal Account
6/20/2014,8.78,debit,Fast Food,Visa Signature
6/19/2014,10.17,debit,Shopping,Visa Signature
6/16/2014,70,debit,Home Services,Income Fund
6/16/2014,5.64,debit,Gas & Fuel,Visa Signature
6/16/2014,5.94,debit,Fast Food,Visa Signature
6/16/2014,3.52,debit,Coffee Shops,Visa Signature
6/16/2014,37.83,debit,Gas & Fuel,Visa Signature
6/16/2014,14.18,debit,Gas & Fuel,Visa Signature
6/16/2014,9.99,debit,Music,Visa Signature
6/16/2014,2024.05,credit,Paycheck,Income Fund
6/16/2014,400,debit,Credit Card Payment,Income Fund
6/16/2014,529.88,debit,Credit Card Payment,Income Fund
6/16/2014,28.38,debit,Shopping,Income Fund
6/16/2014,519.6,credit,Transfer,Income Fund
6/14/2014,396.13,credit,Credit Card Payment,Barclaycard Arrival Plus
6/14/2014,400,credit,Credit Card Payment,Barclaycard Arrival Plus
6/14/2014,529.88,credit,Credit Card Payment,Visa Signature
6/14/2014,7.91,debit,Fast Food,Visa Signature
6/14/2014,23,debit,Hair,Visa Signature
6/14/2014,12.85,debit,Uncategorized,Visa Signature
6/14/2014,10.19,debit,Alcohol & Bars,Visa Signature
6/14/2014,6.38,debit,Groceries,Visa Signature
6/14/2014,10.22,debit,Shopping,Visa Signature
6/14/2014,519.6,debit,Transfer,PayPal Account
6/14/2014,22.93,credit,Income,PayPal Account
6/13/2014,31.1,debit,Restaurants,Visa Signature
6/13/2014,12.84,debit,Restaurants,Visa Signature
6/13/2014,1.94,debit,Gas & Fuel,Visa Signature
6/12/2014,496.67,credit,Income,PayPal Account
6/12/2014,2.69,debit,Groceries,Visa Signature
6/12/2014,7.69,debit,Fast Food,Visa Signature
6/12/2014,433.66,credit,Transfer,Income Fund
6/11/2014,4.61,debit,Coffee Shops,Visa Signature
6/11/2014,10.75,debit,Groceries,Visa Signature
6/11/2014,3.24,debit,Uncategorized,Visa Signature
6/11/2014,500,credit,Interest Income,Income Fund
6/10/2014,7.86,debit,Uncategorized,Visa Signature
6/10/2014,7.99,debit,Movies & DVDs,Visa Signature
6/10/2014,68.75,debit,Utilities,Income Fund
6/9/2014,22.75,debit,Uncategorized,Visa Signature
6/9/2014,433.66,debit,Transfer,PayPal Account
6/8/2014,2.16,debit,Pharmacy,Barclaycard Arrival Plus
6/8/2014,496.67,credit,Income,PayPal Account
6/7/2014,54.94,debit,Restaurants,Barclaycard Arrival Plus
6/7/2014,10.75,debit,Groceries,Barclaycard Arrival Plus
6/7/2014,8.83,debit,Shopping,Barclaycard Arrival Plus
6/7/2014,20.62,debit,Fast Food,Visa Signature
6/7/2014,3.24,debit,Uncategorized,Visa Signature
6/7/2014,9.72,debit,Shopping,Visa Signature
6/6/2014,4.72,debit,Restaurants,Barclaycard Arrival Plus
6/6/2014,4.72,debit,Restaurants,Barclaycard Arrival Plus
6/6/2014,27.87,debit,Restaurants,Barclaycard Arrival Plus
6/6/2014,140.76,debit,Alcohol & Bars,Visa Signature
6/6/2014,25.48,debit,Shopping,Visa Signature
6/6/2014,102.75,debit,Groceries,Income Fund
6/5/2014,24.71,debit,Restaurants,Barclaycard Arrival Plus
6/5/2014,2.38,debit,Gas & Fuel,Visa Signature
6/5/2014,13.34,debit,Restaurants,Visa Signature
6/5/2014,8.56,debit,Fast Food,Visa Signature
6/5/2014,2.69,debit,Groceries,Visa Signature
6/5/2014,14.95,debit,Books,Visa Signature
6/5/2014,0.3,credit,Interest Income,Income Fund
6/5/2014,28.76,credit,Income,Income Fund
6/5/2014,0.75,credit,Interest Income,Emergency Savings
6/5/2014,179.58,debit,Credit Card Payment,Income Fund
6/4/2014,179.58,credit,Credit Card Payment,Visa Signature
6/4/2014,300,debit,Transfer,Income Fund
6/3/2014,8.56,debit,Fast Food,Visa Signature
6/3/2014,38.57,debit,Shopping,Visa Signature
6/3/2014,2.99,debit,Music,Income Fund
6/2/2014,108.05,debit,Shopping,Visa Signature
6/2/2014,19.5,debit,Hotel,Visa Signature
6/2/2014,1021.84,debit,Bills & Utilities,Income Fund
6/2/2014,50.67,debit,Student Loan,Income Fund
